"","X.1","X","date","val","diff","change","key","race","sex"
"63",63,63,"2020-02-01",10497,0,0,"black_women","black","women"
"64",64,64,"2020-03-01",10099,-398,-3.79155949318853,"black_women","black","women"
"65",65,65,"2020-04-01",8606,-1891,-18.0146708583405,"black_women","black","women"
"66",66,66,"2020-05-01",8706,-1791,-17.0620177193484,"black_women","black","women"
"67",67,67,"2020-06-01",9017,-1480,-14.099266457083,"black_women","black","women"
"68",68,68,"2020-07-01",9084,-1413,-13.4609888539583,"black_women","black","women"
"69",69,69,"2020-08-01",9187,-1310,-12.4797561207964,"black_women","black","women"
"70",70,70,"2020-09-01",9350,-1147,-10.9269315042393,"black_women","black","women"
"71",71,71,"2020-10-01",9614,-883,-8.41192721730018,"black_women","black","women"
"72",72,72,"2020-11-01",9716,-781,-7.44022101552825,"black_women","black","women"
"73",73,73,"2020-12-01",9570,-927,-8.8310945984567,"black_women","black","women"
"74",74,74,"2021-01-01",9537,-960,-9.14547013432409,"black_women","black","women"
"75",75,75,"2021-02-01",9498,-999,-9.51700485853101,"black_women","black","women"
"76",76,76,"2019-02-01",8856,-177,-1.9594818997011,"black_men","black","men"
"77",77,77,"2019-03-01",8889,-144,-1.59415476585852,"black_men","black","men"
"78",78,78,"2019-04-01",9044,11,0.121775711280859,"black_men","black","men"
"79",79,79,"2019-05-01",9071,38,0.420679729879331,"black_men","black","men"
"80",80,80,"2019-06-01",9166,133,1.47237905457766,"black_men","black","men"
"81",81,81,"2019-07-01",9399,366,4.0518100298904,"black_men","black","men"
"82",82,82,"2019-08-01",9297,264,2.92261707074062,"black_men","black","men"
"83",83,83,"2019-09-01",9294,261,2.88940551311856,"black_men","black","men"
"84",84,84,"2019-10-01",9313,280,3.09974537805823,"black_men","black","men"
"85",85,85,"2019-11-01",9301,268,2.96689914757002,"black_men","black","men"
"86",86,86,"2019-12-01",9247,214,2.36909111037308,"black_men","black","men"
"87",87,87,"2020-01-01",9003,-30,-0.332115576220525,"black_men","black","men"
"88",88,88,"2020-02-01",9033,0,0,"black_men","black","men"
"89",89,89,"2020-03-01",8919,-114,-1.26203918963799,"black_men","black","men"
"90",90,90,"2020-04-01",7642,-1391,-15.399092217425,"black_men","black","men"
"91",91,91,"2020-05-01",7824,-1209,-13.3842577216871,"black_men","black","men"
"92",92,92,"2020-06-01",8003,-1030,-11.4026347835713,"black_men","black","men"
"93",93,93,"2020-07-01",8199,-834,-9.23281301893059,"black_men","black","men"
"94",94,94,"2020-08-01",8364,-669,-7.4061773497177,"black_men","black","men"
"95",95,95,"2020-09-01",8259,-774,-8.56858186648954,"black_men","black","men"
"96",96,96,"2020-10-01",8494,-539,-5.96700985276209,"black_men","black","men"
"97",97,97,"2020-11-01",8467,-566,-6.26591387136057,"black_men","black","men"
"98",98,98,"2020-12-01",8496,-537,-5.94486881434739,"black_men","black","men"
"99",99,99,"2021-01-01",8587,-446,-4.93745156647847,"black_men","black","men"
"100",100,100,"2021-02-01",8491,-542,-6.00022141038415,"black_men","black","men"
"101",101,101,"2019-02-01",4783,-46,-0.952578173534893,"asian_women","asian","women"
"102",102,102,"2019-03-01",4836,7,0.144957548146614,"asian_women","asian","women"
"103",103,103,"2019-04-01",4690,-139,-2.87844274176848,"asian_women","asian","women"
"104",104,104,"2019-05-01",4718,-111,-2.29861254918203,"asian_women","asian","women"
"105",105,105,"2019-06-01",4945,116,2.40215365500104,"asian_women","asian","women"
"106",106,106,"2019-07-01",4738,-91,-1.88444812590598,"asian_women","asian","women"
"107",107,107,"2019-08-01",4896,67,1.38745081797474,"asian_women","asian","women"
"108",108,108,"2019-09-01",4944,115,2.38144543383723,"asian_women","asian","women"
"109",109,109,"2019-10-01",4947,118,2.44357009732864,"asian_women","asian","women"
"110",110,110,"2019-11-01",4872,43,0.890453510043487,"asian_women","asian","women"
"111",111,111,"2019-12-01",4808,-21,-0.434872644439843,"asian_women","asian","women"
"112",112,112,"2020-01-01",4605,-224,-4.63864154069165,"asian_women","asian","women"
"113",113,113,"2020-02-01",4829,0,0,"asian_women","asian","women"
"114",114,114,"2020-03-01",4727,-102,-2.11223855870781,"asian_women","asian","women"
"115",115,115,"2020-04-01",3928,-901,-18.6581072685856,"asian_women","asian","women"
"116",116,116,"2020-05-01",3876,-953,-19.7349347691033,"asian_women","asian","women"
"117",117,117,"2020-06-01",4091,-738,-15.2826672188859,"asian_women","asian","women"
"118",118,118,"2020-07-01",4271,-558,-11.5551874094015,"asian_women","asian","women"
"119",119,119,"2020-08-01",4452,-377,-7.80699937875337,"asian_women","asian","women"
"120",120,120,"2020-09-01",4494,-335,-6.93725408987368,"asian_women","asian","women"
"121",121,121,"2020-10-01",4508,-321,-6.64733899358045,"asian_women","asian","women"
"122",122,122,"2020-11-01",4481,-348,-7.20646096500311,"asian_women","asian","women"
"123",123,123,"2020-12-01",4497,-332,-6.87512942638227,"asian_women","asian","women"
"124",124,124,"2021-01-01",4377,-452,-9.36011596603852,"asian_women","asian","women"
